OrgID,Department,Employee_Number,Telework Eligible Class,Work Schedule,1 Way Commute Miles,1 Way Commute Minutes,Telework Days,Report Date
7760,DGS,DGS00680,No,FT_AWWS 4/10/40,20.29,27.28,0,10/18/2021
7760,DGS,DGS00681,No,FT_AWWS 4/10/40,23.34,27.92,0,10/18/2021
7760,DGS,DGS00682,No,FT_AWWS 4/10/40,17.61,25.15,0,10/18/2021
7760,DGS,DGS00692,No,FT_AWWS 4/10/40,5.8,10.7,0,10/18/2021
7760,DGS,DGS00706,No,FT_AWWS 4/10/40,19.42,31.52,0,10/18/2021
7760,DGS,DGS00890,No,FT_AWWS 4/10/40,5.99,14.67,0,10/18/2021
7760,DGS,DGS00900,No,FT_AWWS 4/10/40,11.09,25.15,0,10/18/2021
7760,DGS,DGS00951,No,FT_AWWS 4/10/40,32.42,40.29,0,10/18/2021
7760,DGS,DGS01162,No,FT_AWWS 4/10/40,5.45,17.39,0,10/18/2021
7760,DGS,DGS01274,No,FT_AWWS 4/10/40,,,0,10/18/2021
7760,DGS,DGS01492,No,FT_AWWS 4/10/40,19.61,28.35,0,10/18/2021
7760,DGS,DGS01501,No,FT_AWWS 4/10/40,3.3,9.04,0,10/18/2021
7760,DGS,DGS01515,No,FT_AWWS 4/10/40,7.85,22.11,0,10/18/2021
7760,DGS,DGS01549,No,FT_AWWS 4/10/40,43.13,46.42,0,10/18/2021
7760,DGS,DGS01734,No,FT_AWWS 4/10/40,9.28,20.75,0,10/18/2021
7760,DGS,DGS01798,No,FT_AWWS 4/10/40,6.18,17.35,0,10/18/2021
7760,DGS,DGS01801,No,FT_AWWS 4/10/40,21.61,27.92,0,10/18/2021
7760,DGS,DGS01871,No,FT_AWWS 4/10/40,20.04,38.99,0,10/18/2021
7760,DGS,DGS01966,No,FT_AWWS 4/10/40,13.19,26.72,0,10/18/2021
7760,DGS,DGS02022,No,FT_AWWS 4/10/40,16.71,18.85,0,10/18/2021
7760,DGS,DGS02035,No,FT_AWWS 4/10/40,16.37,31,0,10/18/2021
7760,DGS,DGS02042,No,FT_AWWS 4/10/40,6.44,14.95,0,10/18/2021
7760,DGS,DGS02065,No,FT_AWWS 4/10/40,7.59,16.57,0,10/18/2021
7760,DGS,DGS02121,No,FT_AWWS 4/10/40,14.16,20.79,0,10/18/2021
7760,DGS,DGS02154,No,FT_AWWS 4/10/40,54.3,63.41,0,10/18/2021
7760,DGS,DGS02235,No,FT_AWWS 4/10/40,28.42,33.81,0,10/18/2021
