Week,Department,All Staff,Telework Eligible Staff,Full-time Teleworkers,Part-time Teleworkers,Working Days,Telework Days,Teleworker Average 1 Way Miles,Teleworker Average 1 Way Minutes
3/16/2020,DGS,"3,502","1,975",344,169,"9,750","2,130",14.86,26.81
3/23/2020,DGS,"3,507","1,968","1,112",357,"9,715","6,491",15.15,27.05
3/30/2020,DGS,"3,506","1,968","1,191",356,"9,715","6,849",15.25,27.16
4/6/2020,DGS,"3,495","1,963","1,229",335,"9,689","6,956",15.29,27.2
4/13/2020,DGS,"3,493","1,962","1,237",336,"9,686","7,001",15.28,27.18
4/20/2020,DGS,"3,495","1,964","1,238",339,"9,696","7,016",15.32,27.22
4/27/2020,DGS,"3,491","1,959","1,240",339,"9,671","7,026",15.31,27.2
5/4/2020,DGS,"3,483","1,955","1,238",343,"9,650","7,023",15.29,27.18
5/11/2020,DGS,"3,499","1,970","1,246",347,"9,723","7,070",15.29,27.17
5/18/2020,DGS,"3,507","1,970","1,259",345,"9,723","7,132",15.29,27.18
5/25/2020,DGS,"3,516","1,978","1,225",385,"9,763","7,109",15.33,27.23
6/1/2020,DGS,"3,528","1,985","1,223",387,"9,797","7,106",15.33,27.24
6/8/2020,DGS,"3,533","1,993","1,231",388,"9,837","7,160",15.42,27.33
6/15/2020,DGS,"3,538","1,998","1,233",388,"9,862","7,176",15.32,27.24
6/22/2020,DGS,"3,533","1,994","1,227",388,"9,844","7,151",15.35,27.27
6/29/2020,DGS,"3,533","1,994","1,228",390,"9,844","7,160",15.37,27.28
7/6/2020,DGS,"3,526","1,988","1,229",389,"9,815","7,164",15.37,27.28
7/13/2020,DGS,"3,521","1,984","1,228",393,"9,795","7,184",15.33,27.26
7/20/2020,DGS,"3,521","1,987","1,224",399,"9,810","7,182",15.35,27.3
7/27/2020,DGS,"3,516","1,984","1,222",403,"9,796","7,189",15.41,27.37
8/3/2020,DGS,"3,518","1,986","1,205",418,"9,806","7,160",15.38,27.31
8/10/2020,DGS,"3,518","1,985","1,203",420,"9,800","7,159",15.38,27.31
8/17/2020,DGS,"3,513","1,979","1,205",419,"9,771","7,167",15.42,27.34
8/24/2020,DGS,"3,515","1,979","1,203",418,"9,771","7,150",15.4,27.33
8/31/2020,DGS,"3,524","1,986","1,207",419,"9,806","7,168",15.38,27.31
9/7/2020,DGS,"3,523","1,986","1,199",424,"9,806","7,154",15.4,27.32
9/14/2020,DGS,"3,519","1,985","1,196",425,"9,801","7,142",15.4,27.33
9/21/2020,DGS,"3,525","1,989","1,197",429,"9,821","7,159",15.38,27.3
9/28/2020,DGS,"3,522","1,985","1,191",431,"9,801","7,129",15.4,27.32
10/5/2020,DGS,"3,529","1,988","1,188",434,"9,815","7,120",15.44,27.37
10/12/2020,DGS,"3,530","1,988","1,186",435,"9,815","7,115",15.44,27.33
10/19/2020,DGS,"3,531","1,987","1,184",436,"9,810","7,104",15.43,27.35
10/26/2020,DGS,"3,523","1,984","1,187",434,"9,795","7,086",15.43,27.35
11/2/2020,DGS,"3,503","1,977","1,184",436,"9,761","7,077",15.44,27.37
11/9/2020,DGS,"3,497","1,971","1,182",433,"9,731","7,059",15.44,27.37
11/16/2020,DGS,"3,499","1,972","1,183",431,"9,736","7,064",15.48,27.35
11/23/2020,DGS,"3,489","1,970","1,183",431,"9,726","7,060",15.47,27.3
11/30/2020,DGS,"3,488","1,970","1,183",433,"9,726","7,063",15.45,27.28
12/7/2020,DGS,"3,491","1,974","1,190",435,"9,744","7,103",15.42,27.22
12/14/2020,DGS,"3,497","1,978","1,206",433,"9,764","7,174",15.42,27.21
12/21/2020,DGS,"3,497","1,974","1,204",431,"9,743","7,156",15.43,27.23
12/28/2020,DGS,"3,498","1,973","1,212",426,"9,735","7,174",15.43,27.21
1/4/2021,DGS,"3,483","1,961","1,207",426,"9,673","7,144",15.44,27.23
1/11/2021,DGS,"3,478","1,959","1,203",427,"9,665","7,130",15.45,27.26
1/18/2021,DGS,"3,481","1,963","1,204",428,"9,685","7,140",15.47,27.28
1/25/2021,DGS,"3,482","1,962","1,204",430,"9,680","7,146",15.48,27.29
2/1/2021,DGS,"3,492","1,967","1,203",431,"9,705","7,145",15.48,27.29
2/8/2021,DGS,"3,479","1,963","1,199",429,"9,685","7,123",15.55,27.21
2/15/2021,DGS,"3,480","1,962","1,198",429,"9,681","7,115",15.49,27.14
2/22/2021,DGS,"3,474","1,959","1,195",430,"9,666","7,101",15.52,27.15
3/1/2021,DGS,"3,478","1,962","1,193",432,"9,681","7,086",15.49,27.11
3/8/2021,DGS,"3,479","1,964","1,189",430,"9,691","7,060",15.52,27.13
3/15/2021,DGS,"3,489","1,969","1,189",431,"9,716","7,061",15.51,27.13
