Report Month,Org Code,Department,All reported employees,Telework eligible employees,Telework eligible / All reported,Remote centered employees,Remote centered / All reported,Remote centered / Telework eligible,Office centered employees,Office centered / All reported,Office centered / Telework eligible,Teleworker (remote + office),Teleworker / All reported,Teleworker / Telework eligible,Not teleworking employees from eligible,Not teleworking / All reported,Not teleworking / Telework eligible,Not teleworking + Not eligible,Not teleworking + Not eligible / All reported,Telework days % from eligible
2021-10,7300,Agricultural Labor Relations Board,63,63,100.00%,54,85.70%,85.70%,5,7.90%,7.90%,59,93.70%,93.70%,4,6.30%,6.30%,4,6.30%,64.80%
2021-10,2120,Alcoholic Beverage Control Appeals Board,6,6,100.00%,5,83.30%,83.30%,1,16.70%,16.70%,6,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,78.60%
2021-10,3835,Baldwin Hills Conservancy,3,3,100.00%,3,100.00%,100.00%,0,0.00%,0.00%,3,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,86.70%
2021-10,A541,Board of Forestry and Fire Protection,11,1,9.10%,1,9.10%,100.00%,0,0.00%,0.00%,1,9.10%,100.00%,0,0.00%,0.00%,10,90.90%,80.00%
2021-10,6870,Board of Governors of the California Community Colleges,168,168,100.00%,168,100.00%,100.00%,0,0.00%,0.00%,168,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,5227,Board of State and Community Corrections,100,100,100.00%,99,99.00%,99.00%,1,1.00%,1.00%,100,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,99.20%
2021-10,3105,California African-American Museum,35,18,51.40%,18,51.40%,100.00%,0,0.00%,0.00%,18,51.40%,100.00%,0,0.00%,0.00%,17,48.60%,100.00%
2021-10,4250,California Children and Families Commission,13,13,100.00%,13,100.00%,100.00%,0,0.00%,0.00%,13,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,60.00%
2021-10,1700,California Civil Rights Department,262,262,100.00%,252,96.20%,96.20%,5,1.90%,1.90%,257,98.10%,98.10%,5,1.90%,1.90%,5,1.90%,91.20%
2021-10,3720,California Coastal Commission,178,178,100.00%,178,100.00%,100.00%,0,0.00%,0.00%,178,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,80.00%
2021-10,3340,California Conservation Corps,518,149,28.80%,100,19.30%,67.10%,49,9.50%,32.90%,149,28.80%,100.00%,0,0.00%,0.00%,369,71.20%,66.40%
2021-10,A059,California Correctional Health Care Services,15424,2183,14.20%,1434,9.30%,65.70%,592,3.80%,27.10%,2026,13.10%,92.80%,157,1.00%,7.20%,13398,86.90%,64.60%
2021-10,7600,California Department of Tax and Fee Administration,3506,3474,99.10%,3346,95.40%,96.30%,107,3.10%,3.10%,3453,98.50%,99.40%,21,0.60%,0.60%,53,1.50%,91.40%
2021-10,7502,California Department of Technology,888,886,99.80%,794,89.40%,89.60%,14,1.60%,1.60%,808,91.00%,91.20%,78,8.80%,8.80%,80,9.00%,89.20%
2021-10,A341,California Earthquake Authority,83,83,100.00%,80,96.40%,96.40%,2,2.40%,2.40%,82,98.80%,98.80%,1,1.20%,1.20%,1,1.20%,95.40%
2021-10,8560,California Exposition and State Fair,103,2,1.90%,1,1.00%,50.00%,1,1.00%,50.00%,2,1.90%,100.00%,0,0.00%,0.00%,101,98.10%,60.00%
2021-10,855,California Gambling Control Commission,37,37,100.00%,36,97.30%,97.30%,1,2.70%,2.70%,37,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,92.10%
2021-10,4800,California Health Benefit Exchange,1325,1325,100.00%,1289,97.30%,97.30%,18,1.40%,1.40%,1307,98.60%,98.60%,18,1.40%,1.40%,18,1.40%,97.80%
2021-10,2720,California Highway Patrol,9833,1496,15.20%,157,1.60%,10.50%,329,3.30%,22.00%,486,4.90%,32.50%,1010,10.30%,67.50%,9347,95.10%,17.20%
2021-10,1750,California Horse Racing Board,54,29,53.70%,23,42.60%,79.30%,5,9.30%,17.20%,28,51.90%,96.60%,1,1.90%,3.40%,26,48.10%,71.10%
2021-10,1703,California Privacy Protection Agency,2,2,100.00%,1,50.00%,50.00%,0,0.00%,0.00%,1,50.00%,50.00%,1,50.00%,50.00%,1,50.00%,55.60%
2021-10,6250,California School for the Deaf - Riverside,327,19,5.80%,3,0.90%,15.80%,10,3.10%,52.60%,13,4.00%,68.40%,6,1.80%,31.60%,314,96.00%,32.80%
2021-10,A314,California Science Center,101,32,31.70%,2,2.00%,6.30%,28,27.70%,87.50%,30,29.70%,93.80%,2,2.00%,6.30%,71,70.30%,40.00%
2021-10,6120,California State Library,147,141,95.90%,78,53.10%,55.30%,60,40.80%,42.60%,138,93.90%,97.90%,3,2.00%,2.10%,9,6.10%,62.20%
2021-10,3125,California Tahoe Conservancy,42,42,100.00%,41,97.60%,97.60%,0,0.00%,0.00%,41,97.60%,97.60%,1,2.40%,2.40%,1,2.40%,97.60%
2021-10,2600,California Transportation Commission,34,34,100.00%,34,100.00%,100.00%,0,0.00%,0.00%,34,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,89.40%
2021-10,7870,California Victim Compensation Board,228,223,97.80%,222,97.40%,99.60%,0,0.00%,0.00%,222,97.40%,99.60%,1,0.40%,0.40%,6,2.60%,99.50%
2021-10,1045,Cannabis Control Appeals Panel,8,8,100.00%,6,75.00%,75.00%,2,25.00%,25.00%,8,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,80.00%
2021-10,3862,Central Valley Flood Protection Board,48,48,100.00%,48,100.00%,100.00%,0,0.00%,0.00%,48,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,95.30%
2021-10,3850,Coachella Valley Mountains Conservancy,4,4,100.00%,1,25.00%,25.00%,3,75.00%,75.00%,4,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,35.90%
2021-10,8825,Commission on Asian and Pacific Islander American Affairs,1,1,100.00%,1,100.00%,100.00%,0,0.00%,0.00%,1,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,8120,Commission on Peace Officer Standards and Training,135,135,100.00%,133,98.50%,98.50%,0,0.00%,0.00%,133,98.50%,98.50%,2,1.50%,1.50%,2,1.50%,60.70%
2021-10,6360,Commission on Teacher Credentialing,154,142,92.20%,135,87.70%,95.10%,7,4.50%,4.90%,142,92.20%,100.00%,0,0.00%,0.00%,12,7.80%,87.40%
2021-10,A424,Cradle-to-Career,1,1,100.00%,1,100.00%,100.00%,0,0.00%,0.00%,1,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,3840,Delta Protection Commission,5,5,100.00%,4,80.00%,80.00%,1,20.00%,20.00%,5,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,74.00%
2021-10,3885,Delta Stewardship Council,54,54,100.00%,54,100.00%,100.00%,0,0.00%,0.00%,54,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,92.90%
2021-10,4170,Department of Aging,183,183,100.00%,183,100.00%,100.00%,0,0.00%,0.00%,183,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,2100,Department of Alcoholic Beverage Control,489,452,92.40%,260,53.20%,57.50%,168,34.40%,37.20%,428,87.50%,94.70%,24,4.90%,5.30%,61,12.50%,52.30%
2021-10,1115,Department of Cannabis Control,381,379,99.50%,298,78.20%,78.60%,13,3.40%,3.40%,311,81.60%,82.10%,68,17.80%,17.90%,70,18.40%,75.60%
2021-10,5175,Department of Child Support Services,569,569,100.00%,543,95.40%,95.40%,26,4.60%,4.60%,569,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,95.30%
2021-10,4700,Department of Community Services and Development,111,108,97.30%,108,97.30%,100.00%,0,0.00%,0.00%,108,97.30%,100.00%,0,0.00%,0.00%,3,2.70%,100.00%
2021-10,3480,Department of Conservation,616,616,100.00%,502,81.50%,81.50%,79,12.80%,12.80%,581,94.30%,94.30%,35,5.70%,5.70%,35,5.70%,77.30%
2021-10,1111,Department of Consumer Affairs,3132,2504,79.90%,1692,54.00%,67.60%,518,16.50%,20.70%,2210,70.60%,88.30%,294,9.40%,11.70%,922,29.40%,61.80%
2021-10,5225,Department of Corrections and Rehabilitation,41824,4537,10.80%,2365,5.70%,52.10%,802,1.90%,17.70%,3167,7.60%,69.80%,1370,3.30%,30.20%,38657,92.40%,51.70%
2021-10,4300,Department of Developmental Services,2240,564,25.20%,540,24.10%,95.70%,23,1.00%,4.10%,563,25.10%,99.80%,1,0.00%,0.20%,1677,74.90%,91.20%
2021-10,8860,Department of Finance,374,373,99.70%,325,86.90%,87.10%,38,10.20%,10.20%,363,97.10%,97.30%,10,2.70%,2.70%,11,2.90%,82.30%
2021-10,1701,Department of Financial Protection and Innovation,654,648,99.10%,606,92.70%,93.50%,36,5.50%,5.60%,642,98.20%,99.10%,6,0.90%,0.90%,12,1.80%,92.70%
2021-10,3600,Department of Fish and Wildlife,3003,1822,60.70%,1099,36.60%,60.30%,58,1.90%,3.20%,1157,38.50%,63.50%,665,22.10%,36.50%,1846,61.50%,60.10%
2021-10,8570,Department of Food and Agriculture,689,482,70.00%,348,50.50%,72.20%,69,10.00%,14.30%,417,60.50%,86.50%,65,9.40%,13.50%,272,39.50%,67.30%
2021-10,3540,Department of Forestry and Fire Protection,9458,159,1.70%,128,1.40%,80.50%,27,0.30%,17.00%,155,1.60%,97.50%,4,0.00%,2.50%,9303,98.40%,74.20%
2021-10,7760,Department of General Services,3509,1986,56.60%,1453,41.40%,73.20%,162,4.60%,8.20%,1615,46.00%,81.30%,371,10.60%,18.70%,1894,54.00%,71.90%
2021-10,4140,Department of Health Care Access and Information,445,440,98.90%,404,90.80%,91.80%,27,6.10%,6.10%,431,96.90%,98.00%,9,2.00%,2.00%,14,3.10%,90.80%
2021-10,2240,Department of Housing and Community Development,816,806,98.80%,641,78.60%,79.50%,79,9.70%,9.80%,720,88.20%,89.30%,86,10.50%,10.70%,96,11.80%,78.30%
2021-10,7501,Department of Human Resources,319,295,92.50%,274,85.90%,92.90%,16,5.00%,5.40%,290,90.90%,98.30%,5,1.60%,1.70%,29,9.10%,90.00%
2021-10,820,Department of Justice,4095,3877,94.70%,2846,69.50%,73.40%,672,16.40%,17.30%,3518,85.90%,90.70%,359,8.80%,9.30%,577,14.10%,70.20%
2021-10,4150,Department of Managed Health Care,527,495,93.90%,495,93.90%,100.00%,0,0.00%,0.00%,495,93.90%,100.00%,0,0.00%,0.00%,32,6.10%,100.00%
