Report Month,Department,0 Days,1 Day,2 Days,3 Days,4 Days,5 Days,Total
2021-10,0500 - Governor's Office,39,17,13,19,3,12,103
2021-10,0509 - Governor's Office of Business and Economic Development (GO-Biz),92,17,5,5,5,1,125
2021-10,0511 - Secretary for Government Operations Agency,19,1,3,1,0,0,24
2021-10,"0515 - Secretary for Business, Consumer Services, and Housing Agency",32,10,3,1,0,1,47
2021-10,0521 - Secretary for Transportation Agency,0,19,0,2,0,1,22
2021-10,0531 - Office of Systems Integration,302,29,2,0,1,1,335
2021-10,0540 - Secretary of the Natural Resources Agency,76,1,1,8,0,0,86
2021-10,0552 - Office of the Inspector General,96,17,1,3,2,11,130
2021-10,0555 - Secretary for Environmental Protection,59,2,4,0,0,5,70
2021-10,0559 - Secretary for Labor and Workforce Development Agency,3,3,8,8,2,4,28
2021-10,0650 - Office of Planning and Research,86,5,9,10,2,0,112
2021-10,0690 - Governor's Office of Emergency Services,492,121,131,107,68,129,1048
2021-10,0820 - Department of Justice,1620,538,511,528,321,359,3877
2021-10,0855 - California Gambling Control Commission,23,9,3,2,0,0,37
2021-10,0860 - State Board of Equalization,148,0,0,6,0,0,154
2021-10,0890 - Secretary of State,101,0,392,40,22,8,563
2021-10,1045 - Cannabis Control Appeals Panel,5,1,0,1,1,0,8
2021-10,1111 - Department of Consumer Affairs,644,514,492,309,251,294,2504
2021-10,1115 - Department of Cannabis Control,242,20,36,12,1,68,379
2021-10,1700 - California Civil Rights Department,197,37,18,3,2,5,262
2021-10,1701 - Department of Financial Protection and Innovation,541,27,37,35,2,6,648
2021-10,1703 - California Privacy Protection Agency,1,0,0,0,0,1,2
2021-10,1750 - California Horse Racing Board,12,2,9,1,4,1,29
2021-10,2100 - Department of Alcoholic Beverage Control,45,33,98,154,98,24,452
2021-10,2120 - Alcoholic Beverage Control Appeals Board,2,1,2,1,0,0,6
2021-10,2240 - Department of Housing and Community Development,495,65,78,73,9,86,806
2021-10,2320 - Department of Real Estate,22,121,136,18,24,7,328
2021-10,2600 - California Transportation Commission,20,10,4,0,0,0,34
2021-10,2665 - High-Speed Rail Authority,162,37,41,26,17,8,291
2021-10,2720 - California Highway Patrol,0,157,0,329,0,1010,1496
2021-10,3105 - California African-American Museum,0,0,0,18,0,0,18
2021-10,3125 - California Tahoe Conservancy,41,0,0,0,0,1,42
2021-10,3340 - California Conservation Corps,0,91,9,49,0,0,149
2021-10,3355 - Office of Energy Infrastructure Safety,26,0,0,0,0,0,26
2021-10,3360 - Energy Resources Conservation and Development Commission,525,43,18,9,3,0,598
2021-10,3480 - Department of Conservation,325,88,89,58,21,35,616
2021-10,3540 - Department of Forestry and Fire Protection,61,37,30,20,7,4,159
2021-10,3560 - State Lands Commission,114,14,25,5,6,2,166
2021-10,3600 - Department of Fish and Wildlife,819,111,154,52,21,665,1822
2021-10,3640 - Wildlife Conservation Board,14,0,1,1,0,16,32
2021-10,3720 - California Coastal Commission,0,178,0,0,0,0,178
2021-10,3760 - State Coastal Conservancy,41,8,3,1,0,0,53
2021-10,3780 - Native American Heritage Commission,7,0,0,1,0,0,8
2021-10,3790 - Department of Parks and Recreation,349,98,103,173,118,321,1162
2021-10,3810 - Santa Monica Mountains Conservancy,7,0,0,0,0,0,7
2021-10,3820 - San Francisco Bay Conservation and Development Commission,48,0,0,0,0,0,48
2021-10,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,0,3,5,0,0,0,8
2021-10,3830 - San Joaquin River Conservancy,2,1,0,0,0,0,3
2021-10,3835 - Baldwin Hills Conservancy,2,0,1,0,0,0,3
2021-10,3840 - Delta Protection Commission,2,2,0,0,1,0,5
2021-10,3845 - San Diego River Conservancy,0,0,0,0,0,3,3
2021-10,3850 - Coachella Valley Mountains Conservancy,0,0,1,1,2,0,4
2021-10,3855 - Sierra Nevada Conservancy,25,6,1,3,0,0,35
2021-10,3860 - Department of Water Resources,582,649,427,339,171,0,2168
2021-10,3862 - Central Valley Flood Protection Board,38,3,6,0,1,0,48
2021-10,3875 - Sacramento-San Joaquin Delta Conservancy,10,1,0,0,0,0,11
2021-10,3885 - Delta Stewardship Council,40,8,5,0,1,0,54
2021-10,3900 - State Air Resources Board,1223,184,92,63,46,24,1632
2021-10,3930 - Department of Pesticide Regulation,219,94,55,24,11,7,410
2021-10,3940 - State Water Resources Control Board,1673,118,74,73,16,268,2222
2021-10,3960 - Department of Toxic Substances Control,428,149,86,63,33,204,963
2021-10,3970 - Department of Resources Recycling and Recovery,464,104,84,28,21,63,764
2021-10,4100 - State Council on Developmental Disabilities,30,6,13,6,6,5,66
2021-10,4140 - Department of Health Care Access and Information,344,44,13,19,11,9,440
2021-10,4150 - Department of Managed Health Care,489,4,2,0,0,0,495
2021-10,4170 - Department of Aging,175,0,2,3,3,0,183
2021-10,4250 - California Children and Families Commission,0,0,13,0,0,0,13
2021-10,4265 - Department of Public Health,2456,137,112,83,24,1126,3938
2021-10,4300 - Department of Developmental Services,374,87,43,30,7,23,564
2021-10,4440 - Department of State Hospitals,269,272,77,183,121,51,973
2021-10,4700 - Department of Community Services and Development,103,3,0,1,0,1,108
2021-10,4800 - California Health Benefit Exchange,1257,3,13,29,4,19,1325
2021-10,5160 - Department of Rehabilitation,273,225,496,454,77,121,1646
2021-10,5175 - Department of Child Support Services,471,56,16,11,15,0,569
2021-10,5180 - Department of Social Services,2285,487,614,1377,388,0,5151
2021-10,5225 - Department of Corrections and Rehabilitation,1342,573,430,571,251,1370,4537
2021-10,5227 - Board of State and Community Corrections,94,2,1,1,2,0,100
2021-10,5420 - Prison Industry Authority,6,0,3,7,7,0,23
2021-10,6120 - California State Library,47,17,13,32,29,3,141
2021-10,6125 - Education Audit Appeals Panel,0,2,1,0,0,0,3
2021-10,6250 - California School for the Deaf - Riverside,0,2,1,10,0,6,19
2021-10,6360 - Commission on Teacher Credentialing,80,37,16,4,4,1,142
2021-10,6870 - Board of Governors of the California Community Colleges,162,1,4,1,0,0,168
2021-10,"6980 - Student Aid Commission, California",138,0,0,0,0,0,138
2021-10,7100 - Employment Development Department,985,168,281,207,26,27,1694
2021-10,7300 - Agricultural Labor Relations Board,13,7,34,4,1,4,63
2021-10,7320 - Public Employment Relations Board,21,26,14,4,3,1,69
2021-10,7501 - Department of Human Resources,213,36,21,13,4,8,295
2021-10,7502 - California Department of Technology,718,42,34,7,7,78,886
2021-10,7503 - State Personnel Board,51,18,8,0,0,0,77
2021-10,7504 - Office of Data and Innovation,17,0,0,0,0,0,17
