Report Month,Department,Avg Office Days/Week
2021-10,0500 - Governor's Office,1.64
2021-10,0509 - Governor's Office of Business and Economic Development (GO-Biz),0.56
2021-10,0511 - Secretary for Government Operations Agency,0.42
2021-10,"0515 - Secretary for Business, Consumer Services, and Housing Agency",0.51
2021-10,0521 - Secretary for Transportation Agency,1.36
2021-10,0531 - Office of Systems Integration,0.13
2021-10,0540 - Secretary of the Natural Resources Agency,0.27
2021-10,0552 - Office of the Inspector General,0.36
2021-10,0555 - Secretary for Environmental Protection,0.95
2021-10,0559 - Secretary for Labor and Workforce Development Agency,2.78
2021-10,0650 - Office of Planning and Research,0.62
2021-10,0690 - Governor's Office of Emergency Services,2.23
2021-10,0820 - Department of Justice,1.58
2021-10,0845 - Department of Insurance,1.87
2021-10,0855 - California Gambling Control Commission,0.38
2021-10,0860 - State Board of Equalization,0
2021-10,0890 - Secretary of State,1.83
2021-10,1045 - Cannabis Control Appeals Panel,1
2021-10,1111 - Department of Consumer Affairs,2.34
2021-10,1115 - Department of Cannabis Control,1.23
2021-10,1700 - California Civil Rights Department,0.44
2021-10,1701 - Department of Financial Protection and Innovation,0.41
2021-10,1703 - California Privacy Protection Agency,2
2021-10,1750 - California Horse Racing Board,2.74
2021-10,2100 - Department of Alcoholic Beverage Control,2.28
2021-10,2120 - Alcoholic Beverage Control Appeals Board,1
2021-10,2240 - Department of Housing and Community Development,1.12
2021-10,2320 - Department of Real Estate,1.82
2021-10,2600 - California Transportation Commission,0.53
2021-10,2665 - High-Speed Rail Authority,1.1
2021-10,2720 - California Highway Patrol,4.87
2021-10,3105 - California African-American Museum,0
2021-10,3125 - California Tahoe Conservancy,0.12
2021-10,3340 - California Conservation Corps,4.03
2021-10,3355 - Office of Energy Infrastructure Safety,0
2021-10,3360 - Energy Resources Conservation and Development Commission,0.15
2021-10,3480 - Department of Conservation,1.13
2021-10,3540 - Department of Forestry and Fire Protection,4.94
2021-10,3560 - State Lands Commission,1.28
2021-10,3600 - Department of Fish and Wildlife,2.83
2021-10,3640 - Wildlife Conservation Board,2.74
2021-10,3720 - California Coastal Commission,1
2021-10,3760 - State Coastal Conservancy,0.41
2021-10,3780 - Native American Heritage Commission,0.38
2021-10,3790 - Department of Parks and Recreation,2.57
2021-10,3810 - Santa Monica Mountains Conservancy,0
2021-10,3820 - San Francisco Bay Conservation and Development Commission,0
2021-10,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,1.63
2021-10,3830 - San Joaquin River Conservancy,0.33
2021-10,3835 - Baldwin Hills Conservancy,0.67
2021-10,3840 - Delta Protection Commission,1.3
2021-10,3845 - San Diego River Conservancy,5
2021-10,3850 - Coachella Valley Mountains Conservancy,3.13
2021-10,3855 - Sierra Nevada Conservancy,0.31
2021-10,3860 - Department of Water Resources,2.78
2021-10,3862 - Central Valley Flood Protection Board,0.23
2021-10,3875 - Sacramento-San Joaquin Delta Conservancy,0
2021-10,3885 - Delta Stewardship Council,0.35
2021-10,3900 - State Air Resources Board,0.41
2021-10,3930 - Department of Pesticide Regulation,0.74
2021-10,3940 - State Water Resources Control Board,0.82
2021-10,3960 - Department of Toxic Substances Control,1.7
2021-10,3970 - Department of Resources Recycling and Recovery,0.67
2021-10,4100 - State Council on Developmental Disabilities,1.5
2021-10,4140 - Department of Health Care Access and Information,0.51
2021-10,4150 - Department of Managed Health Care,0.29
2021-10,4170 - Department of Aging,0
2021-10,4250 - California Children and Families Commission,2
2021-10,4265 - Department of Public Health,1.52
2021-10,4300 - Department of Developmental Services,3.4
2021-10,4440 - Department of State Hospitals,4.71
2021-10,4700 - Department of Community Services and Development,0.14
2021-10,4800 - California Health Benefit Exchange,0.11
2021-10,5160 - Department of Rehabilitation,2.08
2021-10,5175 - Department of Child Support Services,0.23
2021-10,5180 - Department of Social Services,1.4
2021-10,5225 - Department of Corrections and Rehabilitation,4.72
2021-10,5227 - Board of State and Community Corrections,0.04
2021-10,5420 - Prison Industry Authority,4.95
2021-10,6120 - California State Library,1.98
2021-10,6125 - Education Audit Appeals Panel,1.33
2021-10,6250 - California School for the Deaf - Riverside,4.69
2021-10,6360 - Commission on Teacher Credentialing,0.92
2021-10,6870 - Board of Governors of the California Community Colleges,0
2021-10,"6980 - Student Aid Commission, California",0
2021-10,7100 - Employment Development Department,1.68
2021-10,7300 - Agricultural Labor Relations Board,1.76
2021-10,7320 - Public Employment Relations Board,1.13
2021-10,7501 - Department of Human Resources,0.68
2021-10,7502 - California Department of Technology,0.54
2021-10,7503 - State Personnel Board,0.47
2021-10,7504 - Office of Data and Innovation,0
2021-10,7600 - California Department of Tax and Fee Administration,0.46
2021-10,7730 - Franchise Tax Board,1.4
2021-10,7760 - Department of General Services,2.95
2021-10,7870 - California Victim Compensation Board,0.13
2021-10,7910 - Office of Administrative Law,2.35
2021-10,7920 - State Teachers' Retirement System,0
2021-10,8120 - Commission on Peace Officer Standards and Training,1.87
2021-10,8140 - State Public Defender,1.3
2021-10,8560 - California Exposition and State Fair,1.93
2021-10,8570 - Department of Food and Agriculture,2.43
2021-10,8620 - Fair Political Practices Commission,0.12
2021-10,8660 - Public Utilities Commission,0.93
2021-10,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",0
2021-10,8825 - Commission on Asian and Pacific Islander American Affairs,0
2021-10,"8830 - Law Revision Commission, California",0
2021-10,8860 - Department of Finance,0.87
2021-10,8880 - Financial Information System for California,0.08
2021-10,"8885 - States Mandates, Commission on",1.33
2021-10,8940 - Military Department,0
2021-10,8955 - Department of Veterans Affairs,4.44
2021-10,A059 - California Correctional Health Care Services,4.52
2021-10,A314 - California Science Center,4.37
2021-10,A341 - California Earthquake Authority,0.23
2021-10,A424 - Cradle-to-Career,0
2021-10,A541 - Board of Forestry and Fire Protection,4.64
2021-11,0500 - Governor's Office,1.75
2021-11,0509 - Governor's Office of Business and Economic Development (GO-Biz),0.56
2021-11,0511 - Secretary for Government Operations Agency,0.42
2021-11,"0515 - Secretary for Business, Consumer Services, and Housing Agency",0.52
2021-11,0521 - Secretary for Transportation Agency,1.36
2021-11,0531 - Office of Systems Integration,0.25
2021-11,0540 - Secretary of the Natural Resources Agency,0.28
2021-11,0552 - Office of the Inspector General,0.3
2021-11,0555 - Secretary for Environmental Protection,0.97
2021-11,0559 - Secretary for Labor and Workforce Development Agency,2.85
2021-11,0650 - Office of Planning and Research,0.62
2021-11,0690 - Governor's Office of Emergency Services,2.21
2021-11,0820 - Department of Justice,1.58
2021-11,0845 - Department of Insurance,1.98
2021-11,0855 - California Gambling Control Commission,0.38
2021-11,0860 - State Board of Equalization,0
2021-11,0890 - Secretary of State,1.83
2021-11,1045 - Cannabis Control Appeals Panel,1
2021-11,1111 - Department of Consumer Affairs,2.36
2021-11,1115 - Department of Cannabis Control,1.19
2021-11,1700 - California Civil Rights Department,0.44
2021-11,1701 - Department of Financial Protection and Innovation,0.43
2021-11,1703 - California Privacy Protection Agency,2
2021-11,1750 - California Horse Racing Board,2.74
2021-11,2100 - Department of Alcoholic Beverage Control,2.28
2021-11,2120 - Alcoholic Beverage Control Appeals Board,1
2021-11,2240 - Department of Housing and Community Development,1.11
2021-11,2320 - Department of Real Estate,1.82
2021-11,2600 - California Transportation Commission,0.53
2021-11,2665 - High-Speed Rail Authority,1.08
2021-11,2720 - California Highway Patrol,4.87
2021-11,3105 - California African-American Museum,0
2021-11,3125 - California Tahoe Conservancy,0.12
2021-11,3340 - California Conservation Corps,4.04
2021-11,3355 - Office of Energy Infrastructure Safety,0
2021-11,3360 - Energy Resources Conservation and Development Commission,0.15
2021-11,3480 - Department of Conservation,1.13
2021-11,3540 - Department of Forestry and Fire Protection,4.93
2021-11,3560 - State Lands Commission,1.32
2021-11,3600 - Department of Fish and Wildlife,2.83
2021-11,3640 - Wildlife Conservation Board,2.74
2021-11,3720 - California Coastal Commission,1
2021-11,3760 - State Coastal Conservancy,0.45
2021-11,3780 - Native American Heritage Commission,0.38
2021-11,3790 - Department of Parks and Recreation,2.53
2021-11,3810 - Santa Monica Mountains Conservancy,0
2021-11,3820 - San Francisco Bay Conservation and Development Commission,0
2021-11,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,1.33
2021-11,3830 - San Joaquin River Conservancy,0.33
2021-11,3835 - Baldwin Hills Conservancy,0.33
2021-11,3840 - Delta Protection Commission,1.3
2021-11,3845 - San Diego River Conservancy,5
2021-11,3850 - Coachella Valley Mountains Conservancy,3.13
2021-11,3855 - Sierra Nevada Conservancy,0.33
2021-11,3860 - Department of Water Resources,2.95
2021-11,3862 - Central Valley Flood Protection Board,0.24
2021-11,3875 - Sacramento-San Joaquin Delta Conservancy,0
2021-11,3885 - Delta Stewardship Council,0.35
2021-11,3900 - State Air Resources Board,0.43
2021-11,3930 - Department of Pesticide Regulation,0.73
2021-11,3940 - State Water Resources Control Board,0.84
2021-11,3960 - Department of Toxic Substances Control,2.37
2021-11,3970 - Department of Resources Recycling and Recovery,0.65
2021-11,4100 - State Council on Developmental Disabilities,1.5
2021-11,4140 - Department of Health Care Access and Information,0.59
2021-11,4150 - Department of Managed Health Care,0.3
2021-11,4170 - Department of Aging,0
2021-11,4250 - California Children and Families Commission,2
2021-11,4265 - Department of Public Health,1.52
2021-11,4300 - Department of Developmental Services,3.38
2021-11,4440 - Department of State Hospitals,4.71
2021-11,4700 - Department of Community Services and Development,0.13
2021-11,4800 - California Health Benefit Exchange,0.1
2021-11,5160 - Department of Rehabilitation,2.1
2021-11,5175 - Department of Child Support Services,0.23
2021-11,5180 - Department of Social Services,1.4
2021-11,5225 - Department of Corrections and Rehabilitation,4.72
2021-11,5227 - Board of State and Community Corrections,0.04
2021-11,5420 - Prison Industry Authority,4.61
2021-11,6120 - California State Library,1.94
2021-11,6125 - Education Audit Appeals Panel,1.33
2021-11,6250 - California School for the Deaf - Riverside,4.69
2021-11,6360 - Commission on Teacher Credentialing,0.89
2021-11,6870 - Board of Governors of the California Community Colleges,0
2021-11,"6980 - Student Aid Commission, California",0
2021-11,7100 - Employment Development Department,1.63
2021-11,7300 - Agricultural Labor Relations Board,1.68
2021-11,7320 - Public Employment Relations Board,1.21
2021-11,7501 - Department of Human Resources,0.66
2021-11,7502 - California Department of Technology,0.65
2021-11,7503 - State Personnel Board,0.46
2021-11,7504 - Office of Data and Innovation,0
2021-11,7600 - California Department of Tax and Fee Administration,0.46
2021-11,7730 - Franchise Tax Board,1.4
2021-11,7760 - Department of General Services,2.98
2021-11,7870 - California Victim Compensation Board,0.13
2021-11,7910 - Office of Administrative Law,2.35
2021-11,7920 - State Teachers' Retirement System,0
2021-11,8120 - Commission on Peace Officer Standards and Training,1.87
2021-11,8140 - State Public Defender,1.27
2021-11,8560 - California Exposition and State Fair,2
2021-11,8570 - Department of Food and Agriculture,2.49
2021-11,8620 - Fair Political Practices Commission,0.12
2021-11,8660 - Public Utilities Commission,0.92
