Report Month,Department,0 Days,1 Day,2 Days,3 Days,4 Days,5 Days,Total
2021-10,0500 - Governor's Office,12,3,19,13,17,39,103
2021-10,0509 - Governor's Office of Business and Economic Development (GO-Biz),1,5,5,5,17,92,125
2021-10,0511 - Secretary for Government Operations Agency,0,0,1,3,1,19,24
2021-10,"0515 - Secretary for Business, Consumer Services, and Housing Agency",1,0,1,3,10,32,47
2021-10,0521 - Secretary for Transportation Agency,1,0,2,0,19,0,22
2021-10,0531 - Office of Systems Integration,1,1,0,2,29,302,335
2021-10,0540 - Secretary of the Natural Resources Agency,0,0,8,1,1,76,86
2021-10,0552 - Office of the Inspector General,11,2,3,1,17,96,130
2021-10,0555 - Secretary for Environmental Protection,5,0,0,4,2,59,70
2021-10,0559 - Secretary for Labor and Workforce Development Agency,4,2,8,8,3,3,28
2021-10,0650 - Office of Planning and Research,0,2,10,9,5,86,112
2021-10,0690 - Governor's Office of Emergency Services,129,68,107,131,121,492,1048
2021-10,0820 - Department of Justice,359,321,528,511,538,1620,3877
2021-10,0855 - California Gambling Control Commission,0,0,2,3,9,23,37
2021-10,0860 - State Board of Equalization,0,0,6,0,0,148,154
2021-10,0890 - Secretary of State,8,22,40,392,0,101,563
2021-10,1045 - Cannabis Control Appeals Panel,0,1,1,0,1,5,8
2021-10,1111 - Department of Consumer Affairs,294,251,309,492,514,644,2504
2021-10,1115 - Department of Cannabis Control,68,1,12,36,20,242,379
2021-10,1700 - California Civil Rights Department,5,2,3,18,37,197,262
2021-10,1701 - Department of Financial Protection and Innovation,6,2,35,37,27,541,648
2021-10,1703 - California Privacy Protection Agency,1,0,0,0,0,1,2
2021-10,1750 - California Horse Racing Board,1,4,1,9,2,12,29
2021-10,2100 - Department of Alcoholic Beverage Control,24,98,154,98,33,45,452
2021-10,2120 - Alcoholic Beverage Control Appeals Board,0,0,1,2,1,2,6
2021-10,2240 - Department of Housing and Community Development,86,9,73,78,65,495,806
2021-10,2320 - Department of Real Estate,7,24,18,136,121,22,328
