Report Month,Department,Avg Telework Days/Week
2021-10,0500 - Governor's Office,3.33
2021-10,0509 - Governor's Office of Business and Economic Development (GO-Biz),4.39
2021-10,0511 - Secretary for Government Operations Agency,4.58
2021-10,"0515 - Secretary for Business, Consumer Services, and Housing Agency",4.49
2021-10,0521 - Secretary for Transportation Agency,3.64
2021-10,0531 - Office of Systems Integration,4.87
2021-10,0540 - Secretary of the Natural Resources Agency,4.69
2021-10,0552 - Office of the Inspector General,4.3
2021-10,0555 - Secretary for Environmental Protection,4.04
2021-10,0559 - Secretary for Labor and Workforce Development Agency,2.16
2021-10,0650 - Office of Planning and Research,4.38
2021-10,0690 - Governor's Office of Emergency Services,2.67
2021-10,0820 - Department of Justice,3.19
2021-10,0845 - Department of Insurance,2.95
2021-10,0855 - California Gambling Control Commission,4.43
2021-10,0860 - State Board of Equalization,4.88
2021-10,0890 - Secretary of State,3.17
2021-10,1045 - Cannabis Control Appeals Panel,4
2021-10,1111 - Department of Consumer Affairs,2.46
2021-10,1115 - Department of Cannabis Control,3.73
2021-10,1700 - California Civil Rights Department,4.56
2021-10,1701 - Department of Financial Protection and Innovation,4.58
2021-10,1703 - California Privacy Protection Agency,2.5
2021-10,1750 - California Horse Racing Board,1.87
2021-10,2100 - Department of Alcoholic Beverage Control,2.18
2021-10,2120 - Alcoholic Beverage Control Appeals Board,3.67
2021-10,2240 - Department of Housing and Community Development,3.83
2021-10,2320 - Department of Real Estate,3.14
2021-10,2600 - California Transportation Commission,4.47
2021-10,2665 - High-Speed Rail Authority,3.7
2021-10,2720 - California Highway Patrol,0.13
2021-10,3105 - California African-American Museum,1.03
2021-10,3125 - California Tahoe Conservancy,4.88
2021-10,3340 - California Conservation Corps,0.94
2021-10,3355 - Office of Energy Infrastructure Safety,5
2021-10,3360 - Energy Resources Conservation and Development Commission,4.8
2021-10,3480 - Department of Conservation,3.87
2021-10,3540 - Department of Forestry and Fire Protection,0.06
2021-10,3560 - State Lands Commission,3.68
2021-10,3600 - Department of Fish and Wildlife,1.73
2021-10,3640 - Wildlife Conservation Board,2.21
2021-10,3720 - California Coastal Commission,4
2021-10,3760 - State Coastal Conservancy,4.59
2021-10,3780 - Native American Heritage Commission,4.63
2021-10,3790 - Department of Parks and Recreation,0.51
2021-10,3810 - Santa Monica Mountains Conservancy,5
2021-10,3820 - San Francisco Bay Conservation and Development Commission,5
2021-10,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,3.38
2021-10,3830 - San Joaquin River Conservancy,4.67
2021-10,3835 - Baldwin Hills Conservancy,4.33
2021-10,3840 - Delta Protection Commission,3.7
2021-10,3845 - San Diego River Conservancy,0
2021-10,3850 - Coachella Valley Mountains Conservancy,1.75
2021-10,3855 - Sierra Nevada Conservancy,4.51
2021-10,3860 - Department of Water Resources,2.21
2021-10,3862 - Central Valley Flood Protection Board,4.6
2021-10,3875 - Sacramento-San Joaquin Delta Conservancy,4.91
2021-10,3885 - Delta Stewardship Council,4.59
2021-10,3900 - State Air Resources Board,4.46
2021-10,3930 - Department of Pesticide Regulation,4.08
2021-10,3940 - State Water Resources Control Board,4.15
2021-10,3960 - Department of Toxic Substances Control,3.27
2021-10,3970 - Department of Resources Recycling and Recovery,3.99
2021-10,4100 - State Council on Developmental Disabilities,3.5
2021-10,4140 - Department of Health Care Access and Information,4.46
2021-10,4150 - Department of Managed Health Care,4.69
2021-10,4170 - Department of Aging,4.86
2021-10,4250 - California Children and Families Commission,3
2021-10,4265 - Department of Public Health,3.39
2021-10,4300 - Department of Developmental Services,1.07
2021-10,4440 - Department of State Hospitals,0.28
2021-10,4700 - Department of Community Services and Development,4.77
2021-10,4800 - California Health Benefit Exchange,4.83
2021-10,5160 - Department of Rehabilitation,2.67
2021-10,5175 - Department of Child Support Services,4.68
2021-10,5180 - Department of Social Services,3.57
2021-10,5225 - Department of Corrections and Rehabilitation,0.28
2021-10,5227 - Board of State and Community Corrections,4.85
2021-10,5420 - Prison Industry Authority,0.06
2021-10,6120 - California State Library,2.96
2021-10,6125 - Education Audit Appeals Panel,3.67
2021-10,6250 - California School for the Deaf - Riverside,0.09
2021-10,6360 - Commission on Teacher Credentialing,3.97
2021-10,6870 - Board of Governors of the California Community Colleges,4.93
2021-10,"6980 - Student Aid Commission, California",5
2021-10,7100 - Employment Development Department,3.11
2021-10,7300 - Agricultural Labor Relations Board,3.24
2021-10,7320 - Public Employment Relations Board,3.8
2021-10,7501 - Department of Human Resources,4.08
2021-10,7502 - California Department of Technology,4.37
2021-10,7503 - State Personnel Board,4.5
2021-10,7504 - Office of Data and Innovation,5
2021-10,7600 - California Department of Tax and Fee Administration,4.48
2021-10,7730 - Franchise Tax Board,2.78
2021-10,7760 - Department of General Services,2.04
2021-10,7870 - California Victim Compensation Board,4.82
2021-10,7910 - Office of Administrative Law,2.65
2021-10,7920 - State Teachers' Retirement System,4.98
2021-10,8120 - Commission on Peace Officer Standards and Training,2.9
2021-10,8140 - State Public Defender,3.69
2021-10,8560 - California Exposition and State Fair,0.06
2021-10,8570 - Department of Food and Agriculture,2.32
2021-10,8620 - Fair Political Practices Commission,4.77
2021-10,8660 - Public Utilities Commission,4.03
2021-10,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",5
2021-10,8825 - Commission on Asian and Pacific Islander American Affairs,5
2021-10,"8830 - Law Revision Commission, California",5
2021-10,8860 - Department of Finance,4.01
2021-10,8880 - Financial Information System for California,4.87
2021-10,"8885 - States Mandates, Commission on",3.67
2021-10,8940 - Military Department,3
2021-10,8955 - Department of Veterans Affairs,0.56
2021-10,A059 - California Correctional Health Care Services,0.45
2021-10,A314 - California Science Center,0.63
2021-10,A341 - California Earthquake Authority,4.77
2021-10,A424 - Cradle-to-Career,5
2021-10,A541 - Board of Forestry and Fire Protection,0.36
2021-11,0500 - Governor's Office,3.22
2021-11,0509 - Governor's Office of Business and Economic Development (GO-Biz),4.41
